Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict,
30-06-2017,Role Models,Malayalam,Rafi,Fahadh Faasil,14,2.2,800,0.3,20,7,27,13,92,6.7,HIT,
07-07-2017,Mom,Hindi,Ravi Udyawar,Sridevi,40,3,1500,36,50,125,175,135,338,7.2,HIT,
07-07-2017,Sasura Bada Paisawala 2,Bhojpuri,Ajay Kumar,Pawan Singh,6,1.3,600,0.02,15,8,23,17,283,6.4,HIT,
07-07-2017,Shob Bhooturey,Bengali,Birsa Dasgupta,Abir Chatterjee,5,0.9,400,0.05,7,3,10,5,100,6.5,HIT,
07-07-2017,Sunday Holiday,Malayalam,Jis Joy,Asif Ali,8,1.8,700,0.3,18,5,23,15,187,7.2,HIT,
14-07-2017,Jagga Jasoos,Hindi,Anurag Basu,Ranbir Kapoor,131,8,2500,54,70,30,100,-31,-24,6.4,FLOP,
14-07-2017,VIP 2,Tamil,Soundarya Rajinikanth,Dhanush,35,7,1200,1,55,25,80,45,128,5.8,AVERAGE,
14-07-2017,Ivan Thanthiran,Tamil,R Kannan,Gautham Karthik,8,1.8,700,0.4,14,4,18,10,125,6.4,HIT,
14-07-2017,Vikram Vedha Special,Tamil,Pushkar Gayathri,Madhavan,11,3,900,0.3,40,15,55,44,400,8.4,BLOCKBUSTER,
21-07-2017,Vikram Vedha,Tamil,Pushkar Gayathri,Madhavan,11,3,900,3,40,20,60,49,445,8.3,HIT,
21-07-2017,Fidaa,Telugu,Sekhar Kammula,Varun Tej,12,4,1500,2,60,30,90,78,650,7.4,SUPER HIT,
21-07-2017,Munna Michael,Hindi,Sabbir Khan,Tiger Shroff,41,6,2000,32,35,12,47,6,15,3.4,FLOP,
21-07-2017,Abhaya,Assamese,Biju Phukan,Biju Phukan,3,0.3,200,0.01,4,2,6,3,100,6.5,AVERAGE,
21-07-2017,Thug Life,Punjabi,Mukesh Vohra,Harish Verma,6,1,500,0.03,12,8,20,14,233,6.3,HIT,
21-07-2017,Goutham Nanda,Telugu,Sampath Nandi,Gopichand,28,4,1200,0.3,22,6,28,0,0,6,AVERAGE,
28-07-2017,Mubarakan,Hindi,Anees Bazmee,Arjun Kapoor,70,6,2000,55,74,19,93,23,33,6,AVERAGE,
28-07-2017,Velaikkaran,Tamil,Mohan Raja,Sivakarthikeyan,60,9,1500,1,80,25,105,45,75,7.1,HIT,
28-07-2017,Bus Stop,Marathi,Sameer Joshi,Siddharth Chandekar,3,0.6,300,0.02,5,2,7,4,133,6.2,HIT,
28-07-2017,Sipahi,Bhojpuri,Premanshu Singh,Pawan Singh,6,1.1,600,0.02,14,7,21,15,250,6.4,HIT,
28-07-2017,Raaga,Kannada,P C Shekhar,Mithun Mukundan,4,0.7,250,0.1,6,2,8,4,100,7.4,HIT,
04-08-2017,Jab Harry Met Sejal,Hindi,Imtiaz Ali,Shah Rukh Khan,90,15,3500,62,80,72,152,62,69,5.2,AVERAGE,
04-08-2017,LIE,Telugu,Hanu Raghavapudi,Nithiin,45,6,1500,0.3,28,9,37,-8,-17,6.2,FLOP,
04-08-2017,Kootathil Oruthan,Tamil,T J Gnanavel,Ashok Selvan,5,0.8,350,0.2,10,3,13,8,160,7,HIT,
11-08-2017,Toilet Ek Prem Katha,Hindi,Shree Narayan Singh,Akshay Kumar,35,13,3000,134,216,100,316,281,802,7.2,BLOCKBUSTER,
11-08-2017,Velaiilla Pattadhari 2,Tamil,Soundarya Rajinikanth,Dhanush,35,8,1200,1,55,25,80,45,128,5.7,AVERAGE,
11-08-2017,Taramani,Tamil,Ram,Andrea Jeremiah,6,1.2,600,0.3,10,3,13,7,116,7.7,HIT,
15-08-2017,Vivegam,Tamil,Siva,Ajith Kumar,130,22,3500,2,150,40,190,60,46,6.3,HIT,
18-08-2017,Bareilly Ki Barfi,Hindi,Ashwiny Iyer Tiwari,Ayushmann Khurrana,20,2.5,1200,34,45,15,60,40,200,7.5,HIT,
18-08-2017,Mission China,Assamese,Zubeen Garg,Zubeen Garg,8,1.2,450,0.01,10,4,14,6,75,6.5,AVERAGE,
18-08-2017,Kadhal Kasakuthaiya,Tamil,Dwarakh Raja,Charle,4,0.6,250,0.1,6,2,8,4,100,6.3,HIT,
25-08-2017,Arjun Reddy,Telugu,Sandeep Reddy Vanga,Vijay Deverakonda,5,1.5,800,2,30,21,51,46,920,8.1,BLOCKBUSTER,
25-08-2017,A Gentleman,Hindi,Krishna DK,Sidharth Malhotra,45,4,1800,22,30,8,38,-7,-16,6.2,FLOP,
25-08-2017,Dhh,Gujarati,Manish Saini,Kahaan,3,0.5,250,0.02,5,2,7,4,133,7.3,HIT,
25-08-2017,Thondimuthalum Driksakshiyum,Malayalam,Dileesh Pothan,Fahadh Faasil,7,1.5,700,0.1,25,10,35,28,400,8.3,BLOCKBUSTER,
01-09-2017,Adam Joan,Malayalam,Jinu Abraham,Prithviraj,13,3,1100,0.3,25,20,45,32,246,5.9,AVERAGE,
01-09-2017,Baadshaho,Hindi,Milan Luthria,Ajay Devgn,80,12,2800,78,95,25,120,40,50,5.4,AVERAGE,
01-09-2017,Priyotoma,Assamese,Achyut Kumar,Bhargav Das,2,0.3,150,0.01,3,1,4,2,100,6.3,HIT,
08-09-2017,Poster Boys,Hindi,Shreyas Talpade,Sunny Deol,20,2,900,15,16,2,18,-2,-10,5.1,FLOP,
08-09-2017,Chal Man Jeetva Jaiye,Gujarati,Vipul Mehta,Dhruvin Shah,5,1,300,0.03,8,6,14,9,180,7.3,HIT,
08-09-2017,Thiruttu Payale 2,Tamil,Susi Ganeshan,Bobby Simha,15,2.5,800,0.3,25,8,33,18,120,6.8,HIT,
15-09-2017,Simran,Hindi,Hansal Mehta,Kangana Ranaut,20,2.5,1200,27,30,5,35,15,75,5.2,FLOP,
15-09-2017,Sala Budha,Odia,Sabyasachi Mohapatra,Atal Bihari Panda,2,0.2,150,0.01,2.5,1.5,4,2,100,8,HIT,
15-09-2017,Lucknow Central,Hindi,Ranjit Tiwari,Farhan Akhtar,30,2,1200,10,12,3,15,-15,-50,6.1,DISASTER,
15-09-2017,Deva,Marathi,Murali Nallappa,Ankush Chaudhari,6,1.1,450,0.04,10,4,14,8,133,6.2,HIT,
15-09-2017,Byomkesh O Agnibaan,Bengali,Arindam Sil,Jisshu Sengupta,6,1.1,450,0.05,9,3,12,6,100,7,HIT,
15-09-2017,Thupparivaalan,Tamil,Mysskin,Vishal,45,8,1500,1,60,20,80,35,77,7.5,HIT,
21-09-2017,Jai Lava Kusa,Telugu,K.S. Ravindra,N.T. Rama Rao Jr,40,20,2200,4,90,40,130,90,225,7.3,HIT,
22-09-2017,Newton,Hindi,Amit Masurkar,Rajkummar Rao,9,1,600,22,23,7,30,21,233,7.6,HIT,
22-09-2017,White Sun,Nepali,Deepak Rauniyar,Dayahang Rai,3,0.3,150,0.01,3,1,4,1,33,7.4,HIT,
22-09-2017,Enemy,Nepali,Devendra Khatri,Pradeep Khadka,3,0.3,150,0.01,3,1,4,1,33,6.4,HIT,
22-09-2017,Udaharanam Sujatha,Malayalam,Phantom Praveen,Manju Warrier,7,1.5,600,0.2,15,4,19,12,171,7.8,HIT,
22-09-2017,Dayavittu Gamanisi,Kannada,Rohit Padaki,Vasishta Simha,6,1.2,400,0.1,9,3,12,6,100,7.2,HIT,
27-09-2017,Spyder,Telugu,A.R. Murugadoss,Mahesh Babu,120,25,3500,5,100,50,150,30,25,6.3,FLOP,
29-09-2017,Judwaa 2,Hindi,David Dhawan,Varun Dhawan,65,16,2800,138,187,40,227,162,249,5.4,HIT,
29-09-2017,Bhoomi,Hindi,Omung Kumar,Sanjay Dutt,45,3,1500,10,13,2,15,-30,-66,5.3,DISASTER,
29-09-2017,Karuppan,Tamil,R Panneerselvam,Vijay Sethupathi,10,2,800,0.5,20,8,28,18,180,6.6,HIT,
29-09-2017,Yeti Obhijaan,Bengali,Srijit Mukherji,Dev,18,3.2,800,0.2,28,12,40,22,122,6.7,HIT,
29-09-2017,Nirahua Hindustani 2,Bhojpuri,Satish Jain,Dinesh Lal Yadav,7,1.4,650,0.02,18,9,27,20,285,6.6,HIT,
29-09-2017,Mahanubhavudu,Telugu,Maruthi,Sharwanand,22,4,1200,0.3,30,10,40,18,81,7.4,HIT,
29-09-2017,Hara Hara Mahadevaki,Tamil,Santhosh P Jayakumar,Gautham Karthik,12,3,800,0.5,18,6,24,12,100,5.9,AVERAGE,
29-09-2017,Mukkabaaz,Hindi,Anurag Kashyap,Vineet Kumar Singh,12,1.8,700,5,12,6,18,6,50,8,HIT,
06-10-2017,Chef,Hindi,Raja Krishna Menon,Saif Ali Khan,30,1.5,800,10,12,3,15,-15,-50,5.7,DISASTER,
06-10-2017,Faster Fene,Marathi,Aditya Sarpotdar,Amey Wagh,4,0.8,400,0.05,6,4,10,6,150,7.2,HIT,
06-10-2017,Ranchi Diaries,Hindi,Sattwik Mohanty,Soundarya Sharma,6,0.4,300,1,1.5,0.5,2,-4,-66,5.1,DISASTER,
06-10-2017,Meyaadha Maan Special,Tamil,Rathna Kumar,Vaibhav,6,1,450,0.2,12,4,16,10,166,7.2,HIT,
06-10-2017,Aramm,Nayanthara Lead,Tamil,Gopi Nainar,Nayanthara,15,3,900,0.5,40,12,52,37,246,8.4,BLOCKBUSTER
13-10-2017,Aksar 2,Hindi,Ananth Mahadevan,Zareen Khan,8,0.5,350,2,3,0.5,3.5,-4.5,-56,3.8,DISASTER,
13-10-2017,Meyaadha Maan,Tamil,Rathna Kumar,Vaibhav,6,1,500,0.2,10,3,13,7,116,7,HIT,
13-10-2017,Chando Likhon,Santali,Chandra Soren,Soren Murmu,2,0.2,100,0.01,2,0.5,2.5,0.5,25,6.5,AVERAGE,
13-10-2017,Mersal Special,Tamil,Atlee,Vijay,120,22,3500,3,190,70,260,140,116,7.6,SUPER HIT,
18-10-2017,Mersal,Tamil,Atlee,Vijay,120,20,3500,10,180,80,260,140,116,7.6,SUPER HIT,
19-10-2017,Secret Superstar,Hindi,Advait Chandan,Aamir Khan,15,4,1800,63,90,876,966,951,6340,7.8,ALL TIME BLOCKBUSTER,
20-10-2017,Cockpit,Bengali,Kamalika Banerjee,Dev,12,2.5,700,0.1,20,8,28,16,133,6.3,AVERAGE,
20-10-2017,Golmaal Again,Hindi,Rohit Shetty,Ajay Devgn,70,30,3500,205,250,61,311,241,344,5.7,BLOCKBUSTER,
20-10-2017,Tu Aavish To Kharo Ne,Gujarati,Bharat Patel,Jignesh Modi,3,0.5,250,0.02,5,2,7,4,133,6.1,HIT,
20-10-2017,Tarak,Kannada,Prakash,Challenging Star Darshan,30,6,1200,0.3,35,10,45,15,50,6.8,HIT,
27-10-2017,Carry On Kesar,Gujarati,Vipul Mehta,Siddharth Randeria,3,0.5,250,0.02,6,3,9,6,200,7.1,HIT,
03-11-2017,Sargi,Punjabi,Neeru Bajwa,Amrinder Gill,8,1.2,550,0.04,15,10,25,17,212,6.3,HIT,
03-11-2017,Ittefaq,Hindi,Abhay Chopra,Sidharth Malhotra,29,4,1500,29,35,10,45,16,55,7.2,HIT,
03-11-2017,Aruvi,Tamil,Arun Prabhu,Aditi Balan,7,1,500,0.2,18,5,23,16,228,8.4,BLOCKBUSTER,
03-11-2017,Raja The Great,Telugu,Anil Ravipudi,Ravi Teja,30,5,1400,0.4,32,12,44,14,46,7.1,HIT,
10-11-2017,Qarib Qarib Singlle,Hindi,Tanuja Chandra,Irrfan Khan,12,1,600,10,12,4,16,4,33,7,AVERAGE,
17-11-2017,Imagi Ningthem,Manipuri,Aribam Syam Sharma,Leishangthem,2,0.2,100,0.01,2,0.5,2.5,0.5,25,7.2,HIT,
17-11-2017,Tumhari Sulu,Hindi,Suresh Triveni,Vidya Balan,17,3,900,36,40,10,50,33,194,7,HIT,
17-11-2017,Kattemane, Tulu,Prakash Pandeshwar,Kishore Kumar,3,0.4,160,0.01,3,1.5,4.5,1.5,50,6.1,AVERAGE,
17-11-2017,Parava,Malayalam,Soubin Shahir,Dulquer Salmaan,16,2.5,900,0.3,22,7,29,13,81,8.1,HIT,
24-11-2017,Mayurakshi,Bengali,Atanu Ghosh,Prosenjit Chatterjee,5,0.7,400,0.05,6,2,8,3,60,7.5,HIT,
24-11-2017,Kadvi Hawa,Hindi,Nila Madhab Panda,Sanjay Mishra,5,0.3,200,1,1.5,0.5,2,-3,-60,7.8,FLOP,
24-11-2017,Balloon,Tamil,Sinish,Jai,10,1.5,600,0.2,15,5,20,10,100,6,AVERAGE,
01-12-2017,Mufti,Kannada,Narthan,Shiva Rajkumar,18,3,1200,0.1,35,25,60,42,233,8.2,HIT,
01-12-2017,Firangi,Hindi,Rajiv Dhingra,Kapil Sharma,25,2,1200,10,13,3,16,-9,-36,4.3,FLOP,
01-12-2017,Jawker Dhan,Bengali,Sayantan Ghosal,Parambrata Chatterjee,7,1.3,500,0.05,11,4,15,8,114,6.6,HIT,
01-12-2017,Golak Bugni Bank Te Batua,Punjabi,Ksshitij Chaudhary,Amrinder Gill,8,1.5,600,0.03,18,12,30,22,275,7.2,HIT,
01-12-2017,Padmavati PreRelease Buzz,Hindi,Sanjay Leela Bhansali,Deepika Padukone,190,18,3000,0,0,0,0,-190,-100,7,DISASTER,
08-12-2017,Fukrey Returns,Hindi,Mrigdeep Singh Lamba,Pulkit Samrat,22,8,2000,80,98,15,113,91,414,6.5,BLOCKBUSTER,
08-12-2017,Lapachhapi,Marathi,Vishal Furia,Pooja Sawant,4,0.8,350,0.02,7,3,10,6,150,7,HIT,
08-12-2017,Anjaniputra,Kannada,A Harsha,Puneeth Rajkumar,35,7,1400,0.3,40,12,52,17,48,6.4,HIT,
15-12-2017,Nirel,Tulu,Rakesh Kadri,Ravi Bhat,3,0.3,150,0.01,3,1,4,1,33,6.2,AVERAGE,
15-12-2017,Monsoon Shootout,Hindi,Amit Kumar,Nawazuddin Siddiqui,8,0.5,400,2,3,1,4,-4,-50,6.8,FLOP,
15-12-2017,Mayaanadhi,Malayalam,Aashiq Abu,Tovino Thomas,10,2.3,800,0.3,20,7,27,17,170,8,BLOCKBUSTER,
