Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict
08-03-2019,Captain Marvel Tamil Dub,Tamil,Anna Boden,Brie Larson,150,7,1500,0.1,20,12,32,-118,-78,6.8,FLOP
08-03-2019,Captain Marvel Hindi Dub,Hindi,Anna Boden,Brie Larson,150,6,1400,0.2,18,10,28,-122,-81,7,FLOP
08-03-2019,Captain Marvel,Hindi Dub,Anna Boden,Brie Larson,150,5,1200,10,15,20,35,-115,-76,7.1,FLOP
08-03-2019,Badnaam Gali,Hindi,Ashwin Shetty,Patralekha,10,0.6,400,2,3,1,4,-6,-60,5.2,DISASTER
08-03-2019,Hamid,Hindi,Aijaz Khan,Talha Arshad Reshi,5,0.3,200,1.5,2,1,3,-2,-40,7.8,DISASTER
08-03-2019,100,Tamil,Sam Anton,Atharvaa,18,2.5,900,0.05,28,9,37,19,105,6.8,HIT
08-03-2019,Nota,Tamil,Anand Shankar,Vijay Deverakonda,40,3.2,1200,0.05,20,6,26,-14,-35,6,FLOP
15-03-2019,Kesari,Hindi,Anurag Singh,Akshay Kumar,80,21,3600,154,207,50,257,177,221,7.4,BLOCKBUSTER
15-03-2019,Watchman,Tamil,A L Vijay,G V Prakash Kumar,10,1.3,500,0.02,14,5,19,9,90,6.3,HIT
15-03-2019,Kavacha,Kannada,GVR Vasu,Shiva Rajkumar,20,3,900,0.05,30,10,40,20,100,6.5,HIT
15-03-2019,Ashi Hi Aashiqui,Marathi,Sachin Pilgaonkar,Abhinay Berde,5,0.8,300,0.05,7,3,10,5,100,7.1,HIT
21-03-2019,Oru Yamandan Premakadha,Malayalam,B C Noufal,Dulquer Salmaan,18,3.5,1100,0.1,35,12,47,29,161,6,HIT
22-03-2019,Madhura Raja,Malayalam,Vysakh,Mammootty,27,4.5,1200,0.1,55,18,73,46,170,6,HIT
22-03-2019,Kesari Chapter,Tamil,Durai Senthilkumar,Dhanush,40,6,1500,0.1,65,20,85,45,112,6.9,HIT
22-03-2019,Charlie Chaplin 2,Tamil,Shakthi Chidambaram,Prabhu Deva,20,2.8,900,0.02,26,8,34,14,70,5.5,AVERAGE
29-03-2019,Notebook,Hindi,Nitin Kakkar,Zaheer Iqbal,15,1.2,900,9,11,2,13,-2,-13,6.5,FLOP
29-03-2019,Junglee,Hindi,Chuck Russell,Vidyut Jammwal,45,3.5,1800,24,30,5,35,-10,-22,5.5,FLOP
29-03-2019,Lucifer,Malayalam,Prithviraj Sukumaran,Mohanlal,30,6,1500,0.05,90,40,130,100,333,7.5,BLOCKBUSTER
29-03-2019,Madura Raja,Malayalam,Vysakh,Mammootty,30,5,1200,0.05,65,20,85,55,183,6.3,HIT
05-04-2019,Majili,Telugu,Shiva Nirvana,Naga Chaitanya,25,7,1600,0.4,40,12,52,27,108,7.3,HIT
05-04-2019,Natpe Thunai,Tamil,D Parthiban,Hiphop Tamizha,20,3,900,0.05,30,10,40,20,100,6.5,HIT
05-04-2019,The Tashkent Files,Hindi,Vivek Agnihotri,Naseeruddin Shah,20,1.1,600,15,18,3,21,1,5,8.1,AVERAGE
05-04-2019,Jersey,Telugu,Gowtam Tinnanuri,Nani,25,6,1700,0.2,50,20,70,45,180,8.5,BLOCKBUSTER
05-04-2019,Uyare,Malayalam,Manu Ashokan,Parvathy Thiruvothu,6,1.2,600,0.05,15,8,23,17,283,8.3,SUPER HIT
11-04-2019,Yajamana,Kannada,Pon Kumaran,Darshan,40,7,1600,0.1,65,15,80,40,100,6.6,HIT
12-04-2019,Bibaho Obhijaan,Bengali,Birsa Dasgupta,Ankush Hazra,8,1.5,400,0.02,20,8,28,20,250,6.4,HIT
12-04-2019,Kolaigaran,Tamil,Andrew Louis,Vijay Antony,15,2.5,800,0.1,18,7,25,10,66,7.3,HIT
12-04-2019,Kalank,Hindi,Abhishek Varman,Varun Dhawan,150,21,4000,80,112,25,137,-13,-8,3.6,AVERAGE
12-04-2019,April May 99,Hindi,Rajiv S Ruia,Anita Hassanandani,6,0.4,300,1.2,1.5,0.5,2,-4,-66,4.5,DISASTER
12-04-2019,Devarattam,Tamil,M Muthaiah,Gautham Karthik,18,2.3,850,0.02,22,7,29,11,61,6.2,HIT
19-04-2019,Kanchana Returns,Tamil,Raghava Lawrence,Raghava Lawrence,45,9,2000,0.1,120,30,150,105,233,4.8,SUPER HIT
19-04-2019,Blank,Hindi,Behzad Khambata,Karan Kapadia,18,0.9,700,5,6,2,8,-10,-55,6.1,DISASTER
19-04-2019,Padde Huli,Kannada,Guru Deshpande,Shreyas Manju,15,2,700,0.05,18,7,25,10,67,6.6,HIT
26-04-2019,Avengers Endgame Hindi Dub,Hindi,Anthony Russo,Robert Downey Jr,350,20,2500,0.3,150,200,350,0,0,8.4,BLOCKBUSTER
03-05-2019,Student of the Year 2,Hindi,Punit Malhotra,Tiger Shroff,70,12,3000,70,98,22,120,50,71,3,AVERAGE
03-05-2019,Devi 2,Tamil,A L Vijay,Prabhu Deva,35,4,1300,0.05,45,12,57,22,62,5.7,AVERAGE
03-05-2019,PM Narendra Modi,Hindi,Omung Kumar,Vivek Oberoi,40,1.5,1200,20,23,5,28,-12,-30,4.2,FLOP
03-05-2019,Lisaa,Tamil,Raju Viswanath,Anjali,12,1.1,450,0.02,10,4,14,2,16,4.3,FLOP
10-05-2019,Setters,Hindi,Ashwini Chaudhary,Aftab Shivdasani,18,0.8,700,2,3,1,4,-14,-77,5.1,DISASTER
10-05-2019,India vs England,Malayalam,Shyamaprasad,Tovino Thomas,7,1.2,450,0.02,10,4,14,7,100,6.6,HIT
10-05-2019,Maharshi,Telugu,Vamsi Paidipally,Mahesh Babu,100,25,2500,0.05,150,60,210,110,110,7.1,HIT
17-05-2019,De De Pyaar De,Hindi,Akiv Ali,Ajay Devgn,50,10,3100,103,143,35,178,128,256,6.6,HIT
17-05-2019,Aadai,Tamil,Rathna Kumar,Amala Paul,12,1.5,800,0.1,12,6,18,6,50,6.7,HIT
17-05-2019,ABCD American Born Confused Desi,Malayalam,Martin Prakkat,Dulquer Salmaan,15,3,900,0.05,35,10,45,30,200,6.6,HIT
24-05-2019,India's Most Wanted,Hindi,Raj Kumar Gupta,Arjun Kapoor,38,2,1200,12,15,4,19,-19,-50,4.6,DISASTER
24-05-2019,Mr Local,Tamil,M Rajesh,Sivakarthikeyan,50,5,1600,0.1,55,15,70,20,40,5.4,AVERAGE
24-05-2019,Bell Bottom,Kannada,Jayatheertha,Rishab Shetty,5,1.1,500,0.05,16,6,22,17,340,8,SUPER HIT
24-05-2019,Saade Aale,Punjabi,Jatinder Mauhar,Guggu Gill,6,1.1,350,0.05,9,4,13,7,117,7.2,HIT
30-05-2019,Monster,Tamil,Nelson Venkatesan,SJ Suryah,15,2,900,0.1,18,6,24,9,60,7.2,HIT
31-05-2019,NGK,Tamil,Selvaraghavan,Suriya,80,11,2200,0.5,75,20,95,15,18,6,AVERAGE
31-05-2019,Montu Ni Bittu,Gujarati,Vijaygiri Bava,Maulik Nayak,5,0.9,300,0.01,10,5,15,10,200,7.2,HIT
31-05-2019,Bharat,Hindi,Ali Abbas Zafar,Salman Khan,200,42,4700,211,320,120,440,240,120,6,HIT
07-06-2019,Avane Srimannarayana,Kannada,Sachin Ravi,Rakshit Shetty,40,4,1200,0.1,45,20,65,25,62,8,HIT
07-06-2019,June,Malayalam,Ahammed Khabeer,Rajisha Vijayan,6,1,500,0.03,12,6,18,12,200,7.7,HIT
07-06-2019,Khamoshi,Hindi,Chakri Toleti,Tamannaah Bhatia,20,0.8,500,3,4,1,5,-15,-75,4.5,DISASTER
07-06-2019,Rusthum,Kannada,Ravi Varma,Shiva Rajkumar,18,3,900,0.05,25,8,33,15,83,5.9,AVERAGE
07-06-2019,Game Over,Tamil,Ashwin Saravanan,Taapsee Pannu,15,2,700,0.05,20,8,28,13,86,7.1,HIT
07-06-2019,Bharat Ane Nenu Gujarati Dub,Gujarati Dub,Koratala Siva,Mahesh Babu,70,1.5,300,3,5,2,7,-63,-90,7.5,FLOP
14-06-2019,Unda,Malayalam,Khalid Rahman,Mammootty,10,1.8,800,0.1,20,8,28,18,180,7.9,HIT
14-06-2019,Ayogya,Tamil,Venkata Mohan,Vishal,35,5,1500,0.1,60,15,75,40,114,7,HIT
14-06-2019,Kalankita Nayak,Odia,Basant Sahoo,Sabyasachi Mishra,6,1.2,400,0.01,12,6,18,12,200,6.7,HIT
14-06-2019,Game Over Hindi Dub,Hindi,Ashwin Saravanan,Taapsee Pannu,15,2,800,12,14,4,18,3,20,7.1,HIT
14-06-2019,Chal Jeevi Laiye,Gujarati,Vipul Mehta,Siddharth Randeria,5,1.1,300,0.01,20,10,30,25,500,8.6,BLOCKBUSTER
14-06-2019,Sindhubaadh,Tamil,S U Arun Kumar,Vijay Sethupathi,25,3.2,1100,0.05,28,12,40,15,60,6.5,AVERAGE
14-06-2019,Article 15,Hindi,Anubhav Sinha,Ayushmann Khurrana,35,5,2000,63,90,25,115,80,228,8.1,SUPER HIT
21-06-2019,Kabir Singh,Hindi,Sandeep Reddy Vanga,Shahid Kapoor,60,20,3200,278,379,100,479,419,698,7.1,ALL TIME BLOCKBUSTER
21-06-2019,Judgement,Marathi,Sameer Vidwans,Amey Wagh,4,0.8,250,0.01,10,4,14,10,250,7.1,HIT
21-06-2019,Gat-Mat,Marathi,Nishant Bhuse,Akash Thosar,4,0.6,300,0.01,7,3,10,6,150,6.8,HIT
21-06-2019,Arjun Patiala,Hindi,Rohit Jugraj,Diljit Dosanjh,30,1.5,1000,7,9,2,11,-19,-63,4.5,DISASTER
21-06-2019,Seven,Tamil,Ramesh Varma,Havish,15,1.5,600,0.02,12,4,16,1,6,5.1,AVERAGE
21-06-2019,Dorasaani,Telugu,KVR Mahendra,Anand Deverakonda,6,0.8,400,0.05,8,3,11,5,83,6.7,AVERAGE
28-06-2019,Oh Baby,Telugu,Nandini Reddy,Samantha Ruth Prabhu,20,3.5,1500,0.5,45,20,65,45,225,7.3,SUPER HIT
28-06-2019,Brochevarevarura,Telugu,Vivek Athreya,Sree Vishnu,10,2.5,800,0.1,20,8,28,18,180,8,BLOCKBUSTER
02-07-2019,Agent Sai Srinivasa Athreya,Telugu,Swaroop RSJ,Naveen Polishetty,5,1.5,600,0.1,15,8,23,18,360,8.4,BLOCKBUSTER
05-07-2019,Gorilla,Tamil,Don Sandy,Jiiva,20,2.5,900,0.1,20,8,28,8,40,5.9,AVERAGE
05-07-2019,Article 370,Hindi,Aditya Suhas Jambhale,Yami Gautam,35,3,1500,40,55,10,65,30,85,7.4,HIT
05-07-2019,Super 30,Hindi,Vikas Bahl,Hrithik Roshan,60,12,3200,147,180,30,210,150,250,7.9,BLOCKBUSTER
05-07-2019,Chaal Jeevi Laiye,Gujarati,Vipul Mehta,Siddharth Randeria,6,1.5,350,0.03,20,12,32,26,433,8.6,BLOCKBUSTER
12-07-2019,Ittymaani Made in China,Malayalam,Jibi Joju,Mohanlal,20,4,1200,0.05,35,12,47,27,135,5.5,AVERAGE
12-07-2019,A1 Accused No 1,Tamil,Johnson K,Jai,12,2.1,700,0.02,18,8,26,14,116,6.8,HIT
19-07-2019,Shadaa,Punjabi,Jagdeep Sidhu,Diljit Dosanjh,18,4.5,900,0.03,50,40,90,72,400,7.2,BLOCKBUSTER
19-07-2019,Sweater,Bengali,Shiladitya Moulik,Ishaa Saha,4,0.6,250,0.01,6,2,8,4,100,7.3,HIT
19-07-2019,Ismart Shankar,Telugu,Puri Jagannadh,Ram Pothineni,35,6,1500,0.2,70,25,95,60,171,6.9,SUPER HIT
19-07-2019,Ambili,Malayalam,Johnpaul George,Soubin Shahir,8,1.3,500,0.02,12,5,17,9,112,7.4,HIT
26-07-2019,Judgementall Hai Kya,Hindi,Prakash Kovelamudi,Kangana Ranaut,35,4.5,1600,33,45,7,52,17,48,6,AVERAGE
26-07-2019,Dear Comrade Tamil Dub,Tamil,Bharat Kamma,Vijay Deverakonda,34,3.5,1000,0.05,25,10,35,1,3,7.2,AVERAGE
26-07-2019,Dear Comrade,Telugu,Bharat Kamma,Vijay Deverakonda,34,8,2000,0.05,60,25,85,51,150,7.4,HIT
02-08-2019,Khandaani Shafakhana,Hindi,Shilpi Dasgupta,Sonakshi Sinha,26,1.5,1100,9,11,3,14,-12,-46,4.1,DISASTER
02-08-2019,Nerkonda Paarvai,Tamil,H Vinoth,Ajith Kumar,70,15,2600,0.2,140,35,175,105,150,8,BLOCKBUSTER
02-08-2019,Rakshasudu,Telugu,Ramesh Varma,Bellamkonda Srinivas,30,4.5,1400,0.1,38,15,53,23,76,7.8,HIT
02-08-2019,Comali,Tamil,Pradeep Ranganathan,Jayam Ravi,50,8,1800,0.05,85,20,105,55,110,7.2,SUPER HIT
02-08-2019,Rajlokhi O Srikanto,Bengali,Pradipta Bhattacharyya,Ritwick Chakraborty,4,0.7,250,0.02,6,3,9,5,125,7.3,HIT
09-08-2019,Ratnamanjari,Kannada,Prasiddh,Basavaraj Kumar,7,0.9,350,0.01,10,3,13,6,86,6.3,AVERAGE
15-08-2019,Mission Mangal,Hindi,Jagan Shakti,Akshay Kumar,32,29,3100,200,238,50,288,256,800,6.5,BLOCKBUSTER
15-08-2019,Batla House,Hindi,Nikkhil Advani,John Abraham,45,14,2750,87,115,20,135,90,200,7.2,HIT
15-08-2019,Gotro,Bengali,Nandita Roy,Prosenjit Chatterjee,6,1,300,0.02,12,5,17,11,183,7.5,HIT
16-08-2019,Saaho Hindi Dub,Hindi,Sujeeth,Prabhas,350,24,4200,150,210,120,330,-20,-5,5.2,AVERAGE
16-08-2019,Magamuni,Tamil,Santha Kumar,Arya,20,2.5,900,0.02,32,10,42,22,110,8,HIT
23-08-2019,Saaho,Hindi Dub,Sujeeth,Prabhas,350,24,4200,150,210,120,330,-20,-5,5.2,AVERAGE
30-08-2019,Gang Leader,Telugu,Vikram Kumar,Nani,40,7,1700,0.5,40,12,52,12,30,7.5,HIT
30-08-2019,Chhichhore,Hindi,Nitesh Tiwari,Sushant Singh Rajput,50,7,2200,153,215,50,265,215,430,8.3,BLOCKBUSTER
30-08-2019,Pailwaan,Kannada,S Krishna,Sudeep,45,6,1700,0.05,75,20,95,50,111,6.4,HIT
30-08-2019,Kaappaan,Tamil,K V Anand,Suriya,90,12,2200,0.05,90,35,125,35,39,6.7,HIT
30-08-2019,Sahoo,Hindi Dub,Sujeeth,Prabhas,350,24,4500,150,300,133,433,83,23,5.3,AVERAGE
13-09-2019,Hellaro,Gujarati,Abhishek Shah,Shraddha Dangar,5,0.9,320,0.01,15,8,23,18,360,8.4,BLOCKBUSTER
13-09-2019,Section 375,Hindi,Ajay Bahl,Akshaye Khanna,25,1.5,900,10,13,2,15,-10,-40,8.1,FLOP
13-09-2019,Dream Girl,Hindi,Raaj Shaandilyaa,Ayushmann Khurrana,30,10,2500,142,200,25,225,195,650,7,BLOCKBUSTER
20-09-2019,Password,Bengali,Kamalika Banerjee,Dev,8,1.5,450,0.02,15,6,21,13,162,6.3,HIT
20-09-2019,Chal Mera Putt,Punjabi,Janjot Singh,Amrinder Gill,12,3,700,0.02,30,28,58,46,383,7.6,BLOCKBUSTER
20-09-2019,Namma Veettu Pillai,Tamil,Pandiraj,Sivakarthikeyan,45,6,1700,0.05,100,30,130,85,188,7,SUPER HIT
27-09-2019,Kurukshetra,Kannada,Naganna,Darshan,50,8,1600,0.2,85,20,105,55,110,6.6,HIT
27-09-2019,Gaddalakonda Ganesh,Telugu,Harish Shankar,Varun Tej,35,7,1600,0.2,42,18,60,25,71,7.4,HIT
27-09-2019,Operation Gold Fish,Telugu,Sai Kiran Adivi,Aadi Saikumar,15,1.8,700,0.05,12,4,16,1,6,5,AVERAGE
27-09-2019,Action,Tamil,Sundar C,Vishal,70,6,1800,0.05,60,20,80,10,14,4.6,FLOP
27-09-2019,Sye Raa Narasimha Reddy,Telugu,Surender Reddy,Chiranjeevi,200,50,4200,5,180,110,290,90,45,7.4,HIT
04-10-2019,War,Hindi,Siddharth Anand,Hrithik Roshan,150,53,4000,317,377,95,472,322,214,6.5,ALL TIME BLOCKBUSTER
04-10-2019,Joker Hindi Dub,Hindi,Todd Phillips,Joaquin Phoenix,70,2,700,15,18,10,28,-42,-60,8.5,FLOP
04-10-2019,Joker,Hindi Dub,Todd Phillips,Joaquin Phoenix,150,5,900,20,30,70,100,-50,-33,8.4,AVERAGE
04-10-2019,Asuran,Tamil,Vetrimaaran,Dhanush,60,12,2000,0.05,125,20,145,85,142,8.4,BLOCKBUSTER
18-10-2019,Moothon,Malayalam,Geetu Mohandas,Nivin Pauly,15,2.2,900,0.1,15,10,25,10,66,7.5,HIT
18-10-2019,Bhajarangi 2,Kannada,A Harsha,Shiva Rajkumar,35,5,1300,0.1,50,15,65,30,86,6.8,HIT
18-10-2019,Laal Kaptaan,Hindi,Navdeep Singh,Saif Ali Khan,45,0.9,800,7,9,2,11,-34,-75,6.3,DISASTER
18-10-2019,Housefull 4,Hindi,Farhad Samji,Akshay Kumar,150,19,3800,210,240,80,320,170,113,3.5,HIT
25-10-2019,Adhyaksha In America,Kannada,Yoganand Muddan,Shrinagara Kitty,15,2.5,800,0.02,22,7,29,14,93,6,AVERAGE
25-10-2019,Bigil,Tamil,Atlee,Vijay,180,25,3200,0.5,260,80,340,160,88,6.7,SUPER HIT
25-10-2019,Made in China,Hindi,Mikhil Musale,Rajkummar Rao,40,1.8,1200,12,20,5,25,-15,-38,6.2,FLOP
01-11-2019,Meeku Maathrame Cheptha,Telugu,Shammeer Sultan,Vijay Deverakonda,12,2.2,900,0.1,18,8,26,14,116,6.5,HIT
01-11-2019,Bigil Hindi Dub,Hindi Dub,Atlee,Vijay,180,4,800,8,15,10,25,-155,-86,6.7,FLOP
08-11-2019,Ujda Chaman,Hindi,Abhishek Pathak,Sunny Singh,12,1.8,900,12,14,3,17,5,41,6,AVERAGE
08-11-2019,Satellite Shankar,Hindi,Irfan Kamal,Sooraj Pancholi,20,0.4,600,1,1.5,0.5,2,-18,-90,4.2,DISASTER
08-11-2019,Enai Noki Paayum Thota,Tamil,Gautham Vasudev Menon,Dhanush,40,4,1300,0.02,50,15,65,25,62,6.4,HIT
15-11-2019,Bala,Hindi,Amar Kaushik,Ayushmann Khurrana,25,10,2200,171,197,30,227,202,808,7.4,BLOCKBUSTER
15-11-2019,Marjaavaan,Hindi,Milap Zaveri,Sidharth Malhotra,45,7,2200,45,60,12,72,27,60,3.5,AVERAGE
15-11-2019,Hero,Tamil,PS Mithran,Sivakarthikeyan,50,6,1800,0.05,45,15,60,10,20,6.3,AVERAGE
15-11-2019,Driver Jamuna,Tamil,Kinslin,Aishwarya Rajesh,8,0.9,400,0.05,10,3,13,5,63,6.2,AVERAGE
22-11-2019,Pagalpanti,Hindi,Anees Bazmee,John Abraham,80,5,2500,33,42,12,54,-26,-32,3.3,DISASTER
22-11-2019,Gangs of Madras,Tamil,Shanthakumar,Ashok Kumar,15,2,700,0.05,18,6,24,9,60,6.1,AVERAGE
22-11-2019,Adithya Varma,Tamil,Gireesaaya,Dhruv Vikram,35,3.5,1200,0.02,40,12,52,17,48,6.5,HIT
29-11-2019,Commando 3,Hindi,Aditya Datt,Vidyut Jammwal,40,5,2000,32,41,10,51,11,27,6,AVERAGE
06-12-2019,Pati Patni Aur Woh,Hindi,Mudassar Aziz,Kartik Aaryan,40,9,2500,86,117,20,137,97,242,6.7,HIT
06-12-2019,Thambi,Tamil,Jeethu Joseph,Karthi,45,5,1500,0.02,55,15,70,25,55,6.8,HIT
13-12-2019,Panipat,Hindi,Ashutosh Gowariker,Arjun Kapoor,100,4,2200,34,45,10,55,-45,-45,5.5,FLOP
13-12-2019,Ardhabhau,Odia,Sabyasachi Mohapatra,Sabyasachi Mishra,3,0.5,200,0.01,4,2,6,3,100,7,HIT
20-12-2019,Dabangg 3,Hindi,Prabhu Deva,Salman Khan,120,24,3600,146,173,40,213,93,77,3.2,AVERAGE
20-12-2019,Prati Roju Pandage,Telugu,Maruthi,Sai Dharam Tej,30,6,1400,0.2,45,15,60,30,100,6.8,HIT
20-12-2019,Mardaani 2,Hindi,Gopi Puthran,Rani Mukerji,30,3.5,1600,67,85,10,95,65,216,7.4,HIT
20-12-2019,Tanhaji The Unsung Warrior,Hindi,Om Raut,Ajay Devgn,150,15,2800,279,367,80,447,297,198,8,BLOCKBUSTER
20-12-2019,Driving Licence,Malayalam,Lal Jr,Prithviraj Sukumaran,25,4,1100,0.1,42,18,60,35,140,7.3,HIT
